Nested Sampling Global Log-Evidence           :   -0.363666527316069405E+05  +/-    0.218547593253789113E+00

Dim No.       Mean        Sigma
   1    0.326730571290011262E+00    0.757753464506173095E-02
   2    0.133679659009207152E+01    0.145827682758408156E+00
   3    0.126972803574689781E+02    0.111733589494970609E+01
   4    0.939942594312301205E+00    0.101997980633212304E+00
   5    0.222868326141093487E+01    0.963071344999233275E-01
   6    0.893617063572378911E-01    0.107269890109220091E-01
   7    0.610646881723344137E+01    0.105862734776448180E-01
   8    0.283552791794012382E+01    0.427475457585762691E-01
   9    0.461514697981976030E+00    0.105447035975049883E+00
  10    0.290877990559125488E+01    0.551346454968138430E-01
  11    0.468799091975981963E+00    0.121701590601057341E+00
  12   -0.283282867312016629E+00    0.141737748102026190E+00
  13    0.611211420368441338E+01    0.769969179227786380E-02
  14    0.781447731101369669E+00    0.169139149797673360E+00
  15    0.987907745873103704E+00    0.875376980346339179E-01
  16    0.208974072932990140E+00    0.140143526600379154E+00
  17    0.985898083239952316E+00    0.792904239418922713E-01
  18    0.458074424532446900E+00    0.182021825266374384E-02
  19    0.408256307481519087E+00    0.762777569635122998E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.320009262593929533E+00
   2    0.152590159038676587E+01
   3    0.141506371990757174E+02
   4    0.787782918621396600E+00
   5    0.207802802408455634E+01
   6    0.753518726532133032E-01
   7    0.611327014282739789E+01
   8    0.286660757178536896E+01
   9    0.626360132541979864E+00
  10    0.292300037382121847E+01
  11    0.643908547973840006E+00
  12   -0.180530751160828951E+00
  13    0.611984569182799110E+01
  14    0.634583228455682824E+00
  15    0.102621726961612114E+01
  16    0.509404713319066074E-01
  17    0.984885647422330868E+00
  18    0.456404886511918850E+00
  19    0.419190936022557858E+00

MAP Parameters
Dim No.        Parameter
   1    0.323032073861278857E+00
   2    0.172803580326136075E+01
   3    0.149849720668941302E+02
   4    0.888800272390231516E+00
   5    0.226825075676211663E+01
   6    0.786472902702643334E-01
   7    0.612832927230645108E+01
   8    0.280522555403027996E+01
   9    0.417673804116666270E+00
  10    0.287470053113795965E+01
  11    0.426175362461902962E+00
  12   -0.124239592382623859E+00
  13    0.612798294172392310E+01
  14    0.649139227496582594E+00
  15    0.799500099483464788E+00
  16    0.891207180601828880E-01
  17    0.918681607618874185E+00
  18    0.458207776829461289E+00
  19    0.453195078735140533E+00
