READ SERR 1 2
@crab_ratio_SA80_d49.pco
!
0.254999995 4.99999523E-3 1.54484236 8.79986584E-3
0.264999986 5.00001013E-3 1.48687887 7.8721242E-3
0.275000006 4.99999523E-3 1.41450298 7.07767904E-3
0.284999996 4.99999523E-3 1.35474193 6.39761612E-3
0.295000017 5.00001013E-3 1.30854309 5.78788621E-3
0.305000007 4.99999523E-3 1.25877976 5.23418514E-3
0.314999998 4.99999523E-3 1.19143331 4.65942174E-3
0.324999988 5.00001013E-3 1.1551826 4.17535985E-3
0.335000008 4.99999523E-3 1.12090719 3.72945354E-3
0.344999999 4.99999523E-3 1.0862416 3.32359783E-3
0.355000019 5.00001013E-3 1.05829918 2.96255737E-3
0.36500001 4.99999523E-3 1.04241836 2.65710615E-3
0.375 4.99999523E-3 1.02385724 2.38060136E-3
0.38499999 4.99999523E-3 1.01547945 2.14850856E-3
0.394999981 5.00001013E-3 1.00348794 1.94071978E-3
0.405000001 4.99999523E-3 1.00233626 1.767357E-3
0.414999992 4.99999523E-3 0.999108493 1.61514024E-3
0.425000012 5.00001013E-3 0.997103751 1.4836014E-3
0.435000002 4.99999523E-3 0.997682333 1.37234293E-3
0.444999993 4.99999523E-3 0.997297764 1.27720635E-3
0.454999983 5.00001013E-3 1.00112331 1.19989249E-3
0.465000004 4.99999523E-3 1.00402963 1.13629806E-3
0.474999994 4.99999523E-3 1.00626361 1.08485844E-3
0.485000014 5.00001013E-3 1.00655484 1.04462611E-3
0.495000005 4.99999523E-3 1.00586724 1.01534335E-3
0.504999995 4.99999523E-3 1.00583088 9.96910036E-4
0.514999986 4.99999523E-3 1.00119734 9.85286548E-4
0.524999976 4.99999523E-3 0.994921982 9.80335171E-4
0.534999967 5.00002503E-3 0.986031115 9.78499535E-4
0.545000017 4.99999523E-3 0.973447502 9.76103067E-4
0.555000007 4.99999523E-3 0.965102375 9.73492395E-4
0.564999998 4.99999523E-3 0.957907617 9.66041523E-4
0.574999988 4.99999523E-3 0.95272398 9.52766743E-4
0.584999979 4.99999523E-3 0.953691959 9.35974705E-4
0.595000029 5.00002503E-3 0.957806945 9.15901153E-4
0.605000019 4.99999523E-3 0.964069724 8.94100114E-4
0.61500001 4.99999523E-3 0.973104775 8.72972014E-4
0.625 4.99999523E-3 0.980808914 8.51799792E-4
0.63499999 4.99999523E-3 0.99010402 8.33104365E-4
0.644999981 4.99999523E-3 0.999024928 8.16443062E-4
0.654999971 5.00002503E-3 1.00567877 8.01160117E-4
0.665000021 4.99999523E-3 1.0155313 7.89568585E-4
0.675000012 4.99999523E-3 1.02374828 7.79431604E-4
0.685000002 4.99999523E-3 1.02735376 7.6935027E-4
0.694999993 4.99999523E-3 1.03211486 7.61102245E-4
0.704999983 4.99999523E-3 1.03508723 7.53174711E-4
0.715000033 5.00002503E-3 1.03421986 7.44308054E-4
0.725000024 4.99999523E-3 1.03579879 7.36380578E-4
0.735000014 4.99999523E-3 1.0341841 7.27258797E-4
0.745000005 4.99999523E-3 1.03326166 7.18387892E-4
0.754999995 4.99999523E-3 1.03242004 7.09589571E-4
0.764999986 4.99999523E-3 1.0301882 7.00629549E-4
0.774999976 4.99999523E-3 1.02832246 6.92244561E-4
0.784999967 5.00002503E-3 1.02591085 6.84475817E-4
0.795000017 4.99999523E-3 1.02408099 6.77671225E-4
0.805000007 4.99999523E-3 1.02300942 6.72082882E-4
0.814999998 4.99999523E-3 1.0201596 6.66919572E-4
0.824999988 4.99999523E-3 1.01505029 6.62012899E-4
0.834999979 4.99999523E-3 1.01064456 6.58393488E-4
0.845000029 5.00002503E-3 1.00579309 6.55497599E-4
0.855000019 4.99999523E-3 1.00070953 6.5326388E-4
0.86500001 4.99999523E-3 0.996384501 6.51817245E-4
0.875 4.99999523E-3 0.990290761 6.50047499E-4
0.88499999 4.99999523E-3 0.987339377 6.49307214E-4
