Nested Sampling Global Log-Evidence           :   -0.439101571611095351E+05  +/-    0.382036257258241640E+00

Dim No.       Mean        Sigma
   1    0.156610887015568245E+01    0.000000000000000000E+00
   2    0.110465397291339045E+02    0.000000000000000000E+00
   3    0.434903890412146221E+00    0.000000000000000000E+00
   4    0.471459314625678250E+00    0.000000000000000000E+00
   5   -0.340854434246613269E-01    0.000000000000000000E+00
   6    0.879947765972541429E+00    0.000000000000000000E+00
   7    0.283991640031168946E+00    0.000000000000000000E+00
   8    0.616771206714969367E+01    0.000000000000000000E+00
   9    0.203632538322905954E-01    0.000000000000000000E+00
  10    0.216406543610488322E+01    0.000000000000000000E+00
  11    0.649581505882933175E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.156610887015568245E+01
   2    0.110465397291339045E+02
   3    0.434903890412146221E+00
   4    0.471459314625678250E+00
   5   -0.340854434246613269E-01
   6    0.879947765972541429E+00
   7    0.283991640031168946E+00
   8    0.616771206714969367E+01
   9    0.203632538322905954E-01
  10    0.216406543610488322E+01
  11    0.649581505882933175E+00

MAP Parameters
Dim No.        Parameter
   1    0.156610887015568245E+01
   2    0.110465397291339045E+02
   3    0.434903890412146221E+00
   4    0.471459314625678250E+00
   5   -0.340854434246613269E-01
   6    0.879947765972541429E+00
   7    0.283991640031168946E+00
   8    0.616771206714969367E+01
   9    0.203632538322905954E-01
  10    0.216406543610488322E+01
  11    0.649581505882933175E+00
